CB(Vd=0.2: Vg=3.0) X,CB(Vd=0.2: Vg=3.0) Y,VB(Vd=0.2: Vg=3.0) X,VB(Vd=0.2: Vg=3.0) Y,CB(Vd=0.2: Vg=0.9) X,CB(Vd=0.2: Vg=0.9) Y,VB(Vd=0.2: Vg=0.9) X,VB(Vd=0.2: Vg=0.9) Y,CB(Vd=0.2: Vg=0.3) X,CB(Vd=0.2: Vg=0.3) Y,VB(Vd=0.2: Vg=0.3) X,VB(Vd=0.2: Vg=0.3) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y
-0.31415796,0.36506432,-0.31415796,-0.75909491,-0.31415796,0.46474854,-0.31415796,-0.65941069,-0.31415796,0.78160578,-0.31415796,-0.34255345,-0.31415796,0.88860639,-0.31415796,-0.23555284
-0.29521704,0.37387636,-0.29521704,-0.75028287,-0.29521704,0.47606235,-0.29521704,-0.64809688,-0.29521704,0.79841835,-0.29521704,-0.32574088,-0.29521704,0.89936786,-0.29521704,-0.22479137
-0.28125,0.3780084,-0.28125,-0.74615083,-0.28125,0.48182937,-0.28125,-0.64232986,-0.28125,0.80797197,-0.28125,-0.31618726,-0.28125,0.90446536,-0.28125,-0.21969387
-0.26728296,0.38171908,-0.26728296,-0.74244015,-0.26728296,0.48684174,-0.26728296,-0.63731749,-0.26728296,0.81532444,-0.26728296,-0.30883479,-0.26728296,0.90729984,-0.26728296,-0.21685939
-0.24834204,0.38830925,-0.24834204,-0.73584998,-0.24834204,0.49500706,-0.24834204,-0.62915217,-0.24834204,0.82505398,-0.24834204,-0.29910525,-0.24834204,0.9109634,-0.24834204,-0.21319583
-0.234375,0.39118347,-0.234375,-0.73297576,-0.234375,0.49898487,-0.234375,-0.62517436,-0.234375,0.83057949,-0.234375,-0.29357975,-0.234375,0.91267816,-0.234375,-0.21148107
-0.22040796,0.39365267,-0.22040796,-0.73050656,-0.22040796,0.50235374,-0.22040796,-0.62180549,-0.22040796,0.83478779,-0.22040796,-0.28937144,-0.22040796,0.91362358,-0.22040796,-0.21053565
-0.20146704,0.3976376,-0.20146704,-0.72652163,-0.20146704,0.50743228,-0.20146704,-0.61672695,-0.20146704,0.83986661,-0.20146704,-0.28429262,-0.20146704,0.91497239,-0.20146704,-0.20918684
-0.1875,0.39938075,-0.1875,-0.72477848,-0.1875,0.50994073,-0.1875,-0.61421851,-0.1875,0.84284751,-0.1875,-0.28131172,-0.1875,0.91555223,-0.1875,-0.20860701
-0.17353296,0.40102866,-0.17353296,-0.72313057,-0.17353296,0.51219834,-0.17353296,-0.61196089,-0.17353296,0.84526839,-0.17353296,-0.27889084,-0.17353296,0.91585264,-0.17353296,-0.20830659
-0.15459204,0.40401406,-0.15459204,-0.72014517,-0.15459204,0.51586176,-0.15459204,-0.60829747,-0.15459204,0.84828824,-0.15459204,-0.27587099,-0.15459204,0.91625752,-0.15459204,-0.20790171
-0.140625,0.40500874,-0.140625,-0.7191505,-0.140625,0.51736833,-0.140625,-0.6067909,-0.140625,0.84985086,-0.140625,-0.27430837,-0.140625,0.91644286,-0.140625,-0.20771637
-0.12665796,0.40580693,-0.12665796,-0.7183523,-0.12665796,0.51857476,-0.12665796,-0.60558447,-0.12665796,0.85108953,-0.12665796,-0.2730697,-0.12665796,0.91653923,-0.12665796,-0.20762
-0.10771704,0.40678934,-0.10771704,-0.71736989,-0.10771704,0.52000549,-0.10771704,-0.60415374,-0.10771704,0.85209223,-0.10771704,-0.272067,-0.10771704,0.9166941,-0.10771704,-0.20746513
-0.09375,0.40699969,-0.09375,-0.71715954,-0.09375,0.52055163,-0.09375,-0.6036076,-0.09375,0.85271544,-0.09375,-0.27144379,-0.09375,0.91676061,-0.09375,-0.20739862
-0.079782955,0.40730577,-0.079782955,-0.71685346,-0.079782955,0.52110889,-0.079782955,-0.60305035,-0.079782955,0.85344032,-0.079782955,-0.27071891,-0.079782955,0.91678723,-0.079782955,-0.207372
-0.060842045,0.40797843,-0.060842045,-0.71618081,-0.060842045,0.5220338,-0.060842045,-0.60212543,-0.060842045,0.8543497,-0.060842045,-0.26980953,-0.060842045,0.91682585,-0.060842045,-0.20733338
-0.046875,0.4077291,-0.046875,-0.71643013,-0.046875,0.52197427,-0.046875,-0.60218496,-0.046875,0.85457971,-0.046875,-0.26957953,-0.046875,0.91684834,-0.046875,-0.20731089
-0.032907955,0.40737574,-0.032907955,-0.71678349,-0.032907955,0.5217376,-0.032907955,-0.60242163,-0.032907955,0.85480942,-0.032907955,-0.26934981,-0.032907955,0.91685312,-0.032907955,-0.20730611
-0.013967045,0.40630832,-0.013967045,-0.71785091,-0.013967045,0.52077266,-0.013967045,-0.60338657,-0.013967045,0.85453645,-0.013967045,-0.26962279,-0.013967045,0.91687022,-0.013967045,-0.20728901
0,0.40541261,0,-0.71874662,0,0.51993333,0,-0.6042259,0,0.85431653,0,-0.2698427,0,0.91687886,0,-0.20728037
0.013967045,0.40465077,0.013967045,-0.71950846,0.013967045,0.5191471,0.013967045,-0.60501213,0.013967045,0.85432042,0.013967045,-0.26983881,0.013967045,0.91687022,0.013967045,-0.20728901
0.032907955,0.40341112,0.032907955,-0.72074811,0.032907955,0.51783343,0.032907955,-0.6063258,0.032907955,0.85429087,0.032907955,-0.26986837,0.032907955,0.91685311,0.032907955,-0.20730612
0.046875,0.40209546,0.046875,-0.72206377,0.046875,0.51642365,0.046875,-0.60773558,0.046875,0.85382486,0.046875,-0.27033437,0.046875,0.91684832,0.046875,-0.20731091
0.060842045,0.4006432,0.060842045,-0.72351603,0.060842045,0.51478001,0.060842045,-0.60937922,0.060842045,0.85330427,0.060842045,-0.27085496,0.060842045,0.91682582,0.060842045,-0.20733341
0.079782955,0.39757251,0.079782955,-0.72658672,0.079782955,0.51143361,0.079782955,-0.61272562,0.079782955,0.85195413,0.079782955,-0.2722051,0.079782955,0.91678719,0.079782955,-0.20737204
