CB(Vd=4.5: Vg=2.5) X,CB(Vd=4.5: Vg=2.5) Y,VB(Vd=4.5: Vg=2.5) X,VB(Vd=4.5: Vg=2.5) Y,CB(Vd=1.6: Vg=2.5) X,CB(Vd=1.6: Vg=2.5) Y,VB(Vd=1.6: Vg=2.5) X,VB(Vd=1.6: Vg=2.5) Y,CB(Vd=0.2: Vg=2.5) X,CB(Vd=0.2: Vg=2.5) Y,VB(Vd=0.2: Vg=2.5) X,VB(Vd=0.2: Vg=2.5) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y,VB(Vd=0.0: Vg=0.0) X,VB(Vd=0.0: Vg=0.0) Y
-0.50359839,-0.074630945,-0.50359839,-1.1987902,-0.50359839,-0.060520313,-0.50359839,-1.1846795,-0.50359839,0.12921232,-0.50359839,-0.99494691,-0.50359839,0.39230306,-0.50359839,-0.73185617
-0.5,-0.12093774,-0.5,-1.245097,-0.5,-0.10441938,-0.5,-1.2285786,-0.5,0.12108901,-0.5,-1.0030702,-0.5,0.43286298,-0.5,-0.69129625
-0.5,-0.12093774,-0.5,-1.245097,-0.5,-0.10441938,-0.5,-1.2285786,-0.5,0.12108901,-0.5,-1.0030702,-0.5,0.43286298,-0.5,-0.69129625
-0.4982008,-0.1461943,-0.4982008,-1.2703535,-0.4982008,-0.12834094,-0.4982008,-1.2525002,-0.4982008,0.11645306,-0.4982008,-1.0077062,-0.4982008,0.45338269,-0.4982008,-0.67077654
-0.49758506,-0.15249902,-0.49758506,-1.2766582,-0.49758506,-0.1342689,-0.49758506,-1.2584281,-0.49758506,0.11556773,-0.49758506,-1.0085915,-0.49758506,0.45900393,-0.49758506,-0.6651553
-0.4921875,-0.23279769,-0.4921875,-1.3569569,-0.4921875,-0.21015491,-0.4921875,-1.3343141,-0.4921875,0.10079406,-0.4921875,-1.0233652,-0.4921875,0.51911135,-0.4921875,-0.60504788
-0.48678994,-0.30734474,-0.48678994,-1.431504,-0.48678994,-0.27999115,-0.48678994,-1.4041504,-0.48678994,0.088979289,-0.48678994,-1.0351799,-0.48678994,0.57203764,-0.48678994,-0.55212159
-0.48586631,-0.31620934,-0.48586631,-1.4403686,-0.48586631,-0.28827337,-0.48586631,-1.4124326,-0.48586631,0.087837756,-0.48586631,-1.0363215,-0.48586631,0.57938644,-0.48586631,-0.54477279
-0.48046875,-0.37833292,-0.48046875,-1.5024922,-0.48046875,-0.34598342,-0.48046875,-1.4701427,-0.48046875,0.079669577,-0.48046875,-1.0444897,-0.48046875,0.62458707,-0.48046875,-0.49957216
-0.47507119,-0.42534071,-0.47507119,-1.5494999,-0.47507119,-0.38930737,-0.47507119,-1.5134666,-0.47507119,0.074869468,-0.47507119,-1.0492898,-0.47507119,0.66167484,-0.47507119,-0.46248439
